ID_participant,cog_load,animal,tail,covered,resolution,att_resp.corr,att_resp.rt,first_procedure,gender,age,vosi_object,vosi_spatial,exp_model,exp_photo,exp_math,exp_experiment
003,0,Camel,Short,Right,medium,0,1.1487757,ATT,f,23,66,53,1,4,5,1
003,0,Crow,Long,Left,low,1,0.685927,ATT,f,23,66,53,1,4,5,1
003,0,Monkey,Long,Left,high,1,0.9888797,ATT,f,23,66,53,1,4,5,1
003,0,Pig,Short,Right,high,1,0.8967397,ATT,f,23,66,53,1,4,5,1
003,0,Pig,Short,Right,medium,1,0.4826834,ATT,f,23,66,53,1,4,5,1
003,0,Rhino,Short,Left,high,1,1.0200179,ATT,f,23,66,53,1,4,5,1
003,0,Lion,Long,Right,high,1,0.7247734,ATT,f,23,66,53,1,4,5,1
003,0,Sheep,Short,Right,high,1,0.8448466,ATT,f,23,66,53,1,4,5,1
003,0,Giraffe,Long,Left,medium,1,0.889878,ATT,f,23,66,53,1,4,5,1
003,0,Fox,Long,Right,low,1,1.0792176,ATT,f,23,66,53,1,4,5,1
003,0,Giraffe,Long,Left,high,1,0.4993868,ATT,f,23,66,53,1,4,5,1
003,0,Kangaroo,Long,Left,high,1,0.7777072,ATT,f,23,66,53,1,4,5,1
003,0,Bull,Long,Left,high,0,1.080509,ATT,f,23,66,53,1,4,5,1
003,0,Gazelle,Short,Right,medium,1,2.1052679,ATT,f,23,66,53,1,4,5,1
003,0,Mole,Short,Right,low,1,0.7001967,ATT,f,23,66,53,1,4,5,1
003,0,Jaguar,Long,Left,low,1,1.3912171,ATT,f,23,66,53,1,4,5,1
003,0,Tiger,Long,Right,low,1,1.1083261,ATT,f,23,66,53,1,4,5,1
003,0,Bear,Short,Left,medium,1,1.1848985,ATT,f,23,66,53,1,4,5,1
003,0,Pig,Short,Right,low,1,0.6145603,ATT,f,23,66,53,1,4,5,1
003,0,Goat,Short,Left,medium,1,1.8869343,ATT,f,23,66,53,1,4,5,1
003,0,Elephant,Short,Right,high,0,0.6240784,ATT,f,23,66,53,1,4,5,1
003,0,Sheep,Short,Right,medium,1,1.0966095,ATT,f,23,66,53,1,4,5,1
003,0,Goat,Short,Left,high,1,0.9825714,ATT,f,23,66,53,1,4,5,1
003,0,Sheep,Short,Right,low,0,2.0961949,ATT,f,23,66,53,1,4,5,1
003,0,Lamb,Short,Right,low,0,0.8572097,ATT,f,23,66,53,1,4,5,1
003,0,Kangaroo,Long,Left,low,1,1.0142027,ATT,f,23,66,53,1,4,5,1
003,0,Monkey,Long,Left,medium,1,0.5265157,ATT,f,23,66,53,1,4,5,1
003,0,Zebra,Long,Left,low,1,0.5274579,ATT,f,23,66,53,1,4,5,1
003,0,Hippo,Short,Left,medium,1,1.0493666,ATT,f,23,66,53,1,4,5,1
003,0,Jaguar,Long,Left,high,1,0.8397766,ATT,f,23,66,53,1,4,5,1
003,0,Deer,Short,Left,medium,0,0.7376091,ATT,f,23,66,53,1,4,5,1
