ID_participant,cog_load,pft_stim,pft_operations,pft_trial_resp.corr,pft_trial_resp.rt,first_procedure,gender,age,vosi_object,vosi_spatial,exp_model,exp_photo,exp_math,exp_experiment,,,
22,1,PFT5.png,1,1,4.623319,ATT,f,19,54,44,1,3,4,0,,,
22,1,PFT13.png,2,0,6.7646492,ATT,f,19,54,44,1,3,4,0,,,
22,1,PFT19.png,3,0,9.011038,ATT,f,19,54,44,1,3,4,0,,,
22,1,PFT15.png,2,1,6.3248246,ATT,f,19,54,44,1,3,4,0,,,
22,1,PFT1.png,1,1,7.9449378,ATT,f,19,54,44,1,3,4,0,,,
22,1,PFT20.png,3,0,6.2516084,ATT,f,19,54,44,1,3,4,0,,,
22,1,PFT23.png,3,1,3.5560565,ATT,f,19,54,44,1,3,4,0,,,
22,1,PFT9.png,2,0,5.0370488,ATT,f,19,54,44,1,3,4,0,,,
22,1,PFT11.png,2,1,5.2830849,ATT,f,19,54,44,1,3,4,0,,,
22,1,PFT8.png,1,1,2.5066737,ATT,f,19,54,44,1,3,4,0,,,
22,1,PFT4.png,1,1,3.0268293,ATT,f,19,54,44,1,3,4,0,,,
22,1,PFT22.png,3,0,8.7615423,ATT,f,19,54,44,1,3,4,0,,,
22,1,PFT24.png,3,0,7.2388864,ATT,f,19,54,44,1,3,4,0,,,
22,1,PFT14.png,2,1,8.2776492,ATT,f,19,54,44,1,3,4,0,,,
22,1,PFT10.png,2,0,1.9729314,ATT,f,19,54,44,1,3,4,0,,,
22,1,PFT2.png,1,1,4.3406888,ATT,f,19,54,44,1,3,4,0,,,
